match_type,date,english_name,url,language,display_order,source_file,notes,description_mode,site_label,link_description
exact_date_and_name,11-Apr,Pope Leo the Great,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=111001,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 60,localized_summary,Laudate,
exact_date_and_name,13-Apr,St. Hermenegild,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=041401,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 61,localized_summary,Laudate,
exact_date_and_name,14-Apr,St. Justin,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=060101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 62,localized_summary,Laudate,
exact_date_and_name,21-Apr,St. Anselm,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=042101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 64,localized_summary,Laudate,
exact_date_and_name,23-Apr,St. George,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=042301,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 66,localized_summary,Laudate,
exact_date_and_name,24-Apr,St. Fidelis of Sigmaringen,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=042401,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 67,localized_summary,Laudate,
exact_date_and_name,25-Apr,St. Mark,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=042501,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 69,localized_summary,Laudate,
exact_date_and_name,27-Apr,St. Peter Canisius,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=122101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 71,localized_summary,Laudate,
exact_date_and_name,28-Apr,St. Paul of the Cross,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=101901,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 72,localized_summary,Laudate,
exact_date_and_name,30-Apr,St. Catherine of Siena,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=042901,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 74,localized_summary,Laudate,
exact_date_and_name,1-May,St. Joseph the Worker,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=050101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 76,localized_summary,Laudate,
exact_date_and_name,1-May,St. Walpurga,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=022501,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 77,localized_summary,Laudate,
exact_date_and_name,2-May,St. Athanasius,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=050201,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 78,localized_summary,Laudate,
exact_date_and_name,4-May,St. Monica,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=082701,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 80,localized_summary,Laudate,
exact_date_and_name,5-May,Pope Pius V,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=043001,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 81,localized_summary,Laudate,
exact_date_and_name,7-May,St. Stanislaus,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=041101,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 82,localized_summary,Laudate,
exact_date_and_name,9-May,St. Gregory Nazianzen,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=010201,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 83,localized_summary,Laudate,
exact_date_and_name,10-May,St. Antoninus,https://www.pauline.or.jp/calendariosanti/gen_saint50.php?id=051001,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 84,localized_summary,Laudate,
exact_date_and_name,11-May,SS. Philip & James,https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=050301,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 85,localized_summary,Laudate,
exact_date_and_name,12-May,"SS. Nereus, Achilleus, Domitilla, & Pancras",https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=051201,ja,1,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 86,localized_summary,Laudate,聖ネレオ、聖アキレオ
exact_date_and_name,12-May,"SS. Nereus, Achilleus, Domitilla, & Pancras",https://www.pauline.or.jp/calendariosanti/gen_saint365.php?id=051202,ja,2,WIP_feasts_seasons_terms_ja_20251206.csv,reference line 86,localized_summary,Laudate,聖パンクラツィオ
